relative_path,major,path_category,category,factory,kind,action,file_size,modified_at,reason,absolute_path
户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA150 LIFUD 1735mil-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,280460,2024-11-08T06:23:57.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA150 LIFUD 1735mil-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA150-Glass -Lifude-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,293357,2024-11-07T08:49:30.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA150-Glass -Lifude-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA200 DOB 1030mil-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,279838,2024-11-08T06:23:56.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA200 DOB 1030mil-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA200 LIFUD 1735mil-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,277162,2024-11-08T06:23:56.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2024年10月/LED 工矿灯 HA款系列/Test IES/HA200 LIFUD 1735mil-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/庭院灯 市电/高清照片和规格书/P-G001 Spec. V1.pdf,户外照明 工业照明,户外工厂,庭院灯,工矿灯-隆景,spec,create,2951747,2026-03-17T09:32:34.500Z,文件名/路径含规格或参数关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/庭院灯 市电/高清照片和规格书/P-G001 Spec. V1.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/庭院灯 市电/高清照片和规格书/Photos.pdf,户外照明 工业照明,户外工厂,庭院灯,工矿灯-隆景,spec,create,390162,2026-04-02T01:45:23.530Z,文件名/路径含规格或参数关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/庭院灯 市电/高清照片和规格书/Photos.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/Cata PANORAMA.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,67732827,2025-10-24T02:01:23.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/Cata PANORAMA.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/彩箱/HB503 100W 246x246x130mm.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,9113,2025-08-07T06:08:59.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/彩箱/HB503 100W 246x246x130mm.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/彩箱/HB503 150W 285x285x130mm.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,10045,2025-08-07T04:02:31.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/彩箱/HB503 150W 285x285x130mm.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/彩箱/HB503 200W 325x325x130mm.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,9487,2025-08-07T06:08:59.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/彩箱/HB503 200W 325x325x130mm.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/牛皮箱/HB503 Carton File.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,404237,2025-07-23T03:41:27.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/包装/牛皮箱/HB503 Carton File.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/规格书/P-HB503 Spec..pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,spec,create,14884972,2025-07-05T05:57:07.000Z,文件名/路径含规格或参数关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/规格书/P-HB503 Spec..pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/温升数据/Temp report HB503-100W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,2252460,2025-07-01T08:39:04.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/温升数据/Temp report HB503-100W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/温升数据/Temp report HB503-150W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,2202651,2025-07-02T07:59:43.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/温升数据/Temp report HB503-150W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/温升数据/Temp report HB503-200W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,2263696,2025-06-23T07:26:52.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/温升数据/Temp report HB503-200W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/503仰视线图图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,678744,2025-06-26T12:11:57.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/503仰视线图图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ha503-100w单灯无配件线条图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,468445,2025-06-07T12:59:37.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ha503-100w单灯无配件线条图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ufo-503-150w单灯无配件线条图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,661866,2025-06-07T13:00:20.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ufo-503-150w单灯无配件线条图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ufo-503-300w单灯无配件线条图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,856583,2025-06-07T13:02:01.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ufo-503-300w单灯无配件线条图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ufo503-200w单灯无配件线条图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,697026,2025-06-07T13:01:00.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/线条图/lj-ufo503-200w单灯无配件线条图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503 100W 152LM.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,309439,2025-07-04T10:12:05.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503 100W 152LM.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503 150W 156LM.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,309890,2025-07-04T10:12:06.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503 150W 156LM.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503 200W 160LM.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,316990,2025-07-04T10:12:06.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503 200W 160LM.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503--60度.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,296826,2025-08-02T09:53:07.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB503/HB503/IES/HB503--60度.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/32-32-12-2.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,4204,2025-10-16T04:42:08.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/32-32-12-2.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/HB507 200W 320x320x120mm Color box.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,385548,2025-10-16T05:08:31.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/HB507 200W 320x320x120mm Color box.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/HB507 Carton.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,387632,2025-07-23T03:41:37.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/HB507 Carton.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/HB507+HB503牛皮内盒刀模.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,packaging-image,create,389151,2025-07-23T03:19:02.000Z,文件名/路径含包装或图片关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/包装/HB507+HB503牛皮内盒刀模.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/规格书/LED Highbay-P-HB507 Spec..pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,spec,create,12588661,2025-07-05T05:57:08.000Z,文件名/路径含规格或参数关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/规格书/LED Highbay-P-HB507 Spec..pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/温升数据/Temp report HB507 200W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,2203972,2025-06-03T07:25:42.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/温升数据/Temp report HB507 200W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/线条图/507仰视线条图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,815197,2025-06-26T12:12:05.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/线条图/507仰视线条图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/线条图/lj-ufo-507-200w-draw.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,2068055,2025-06-07T09:08:22.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/线条图/lj-ufo-507-200w-draw.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/线条图/lj-ufo-507-200w单灯无配件线条图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,579270,2025-06-07T13:02:46.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/线条图/lj-ufo-507-200w单灯无配件线条图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 6500K/HB507--120W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,278843,2025-07-23T07:50:30.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 6500K/HB507--120W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 6500K/HB507--160W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,276689,2025-07-23T07:51:22.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 6500K/HB507--160W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 6500K/HB507--200W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,279610,2025-07-23T07:52:16.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 6500K/HB507--200W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 CCT/HB507-CCT-3000K.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,277004,2025-07-23T07:23:42.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 CCT/HB507-CCT-3000K.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 CCT/HB507-CCT-4000K.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,278314,2025-07-23T07:24:40.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 CCT/HB507-CCT-4000K.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 CCT/HB507-CCT-6000K.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,280680,2025-07-23T07:25:26.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/507 CCT/HB507-CCT-6000K.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/HB503--124 4-chip.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,328514,2025-06-28T03:50:23.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/HB503--124 4-chip.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/HB507 200W 70RA 30min-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,293715,2025-06-20T11:04:17.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/HB507 200W 70RA 30min-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/HB507-200W-80RA.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,277972,2025-06-18T10:44:39.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年10月/HB507/HB507/IES/HB507-200W-80RA.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/100W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,153758,2024-09-06T05:43:01.180Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/100W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/HR 线条图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,1291103,2024-11-07T06:48:54.150Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/HR 线条图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/HR Series V1.0.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,3747727,2024-09-09T00:37:02.670Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/HR Series V1.0.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/HS-侧面线图.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,8173683,2024-09-06T09:18:11.960Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/HS-侧面线图.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR 100W 120度-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,290873,2024-11-06T06:11:56.450Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR 100W 120度-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR 100W 60度-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,261249,2024-11-06T06:11:55.530Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR 100W 60度-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR 100W 90度-E.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,276410,2024-11-06T06:11:56.030Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR 100W 90度-E.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR200 透镜调120度.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,291360,2024-12-04T07:28:40.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR200 透镜调120度.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR200 透镜调60度.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,254293,2024-12-04T01:46:20.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR200 透镜调60度.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR200 透镜调90度.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,other,create,269603,2024-12-04T03:46:24.000Z,文件名/路径未命中明确分类关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/2025年6月 /HR款系列/IES/HR200 透镜调90度.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室报告-HVD/IES test reports  HV series/HV-100W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,703377,2022-06-08T10:42:22.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室报告-HVD/IES test reports  HV series/HV-100W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室报告-HVD/IES test reports  HV series/HV-150W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,689751,2022-06-08T10:42:22.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室报告-HVD/IES test reports  HV series/HV-150W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室报告-HVD/IES test reports  HV series/HV-200W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,694481,2022-06-08T10:42:20.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室报告-HVD/IES test reports  HV series/HV-200W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-100W/HY-100W-EN.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,328720,2021-01-12T03:50:42.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-100W/HY-100W-EN.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-100W/HY-100W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,298519,2021-01-12T03:50:40.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-100W/HY-100W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-150W/HY-150W-EN.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,356557,2021-01-12T03:01:58.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-150W/HY-150W-EN.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-150W/HY-150W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,299123,2021-01-12T03:01:52.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-150W/HY-150W.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-200W/HY-200W-EN.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,334034,2021-01-12T03:23:48.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-200W/HY-200W-EN.pdf
户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-200W/HY-200W.pdf,户外照明 工业照明,户外工厂,Highbay,工矿灯-隆景,certificate-report,create,304072,2021-01-12T03:23:40.000Z,文件名/路径含证书、检测或报告关键词,/Volumes/My Passport/AI 报价/各家工厂最新报价汇总/户外照明 工业照明/户外工厂/工矿灯-隆景/其余产品资料/暗室测试报告-HY/HY-200W/HY-200W.pdf
